image,Prediction v. GT IoU label = 0,Prediction v. GT IoU label = 1,Prediction v. GT IoU label = 2,Prediction v. GT IoU label = 3,Prediction v. GT averaged IoU
0160.tif,0.5885455915599096,0.05372926805045188,0.32360881955902204,0.010344827586206896,0.2440571266888976
0161.tif,0.7111670864819479,0.5117393387637758,0.9108790119692003,0.7479108635097493,0.7204240751811684
0162.tif,0.8168234643054787,0.33399602385685884,0.9304402318658938,0.0,0.5203149300070578
0163.tif,0.5804953560371517,0.48061708860759494,0.9018488114783354,0.17647058823529413,0.534857961089594
0164.tif,0.73414820473644,0.47743362831858405,0.9043745878214993,0.625,0.6852391052191309
0165.tif,0.8238361266294227,0.3706070287539936,0.9350991439233189,0.0,0.5323855748266838
0166.tif,0.7680525164113785,0.37366003062787134,0.9333800841514727,0.04878048780487805,0.5309682797489002
0167.tif,0.7689747003994674,0.23938223938223938,0.9309962588333103,0.7053571428571429,0.6611775853680399
0168.tif,0.7152428810720268,0.590316573556797,0.98550351137169,0.0,0.5727657415001285
0169.tif,0.8201219512195121,0.3652173913043478,0.9313276651406148,0.0,0.5291667519161187
0170.tif,0.8539148712559117,0.6042128603104213,0.9650682982356289,0.0,0.6057990074504904
0171.tif,0.6959578207381371,0.45251396648044695,0.9667334669338677,0.5958549222797928,0.677765044108061
0172.tif,0.7821782178217822,0.35676251331203407,0.9096946509781275,0.8806306306306306,0.7323165031856436
0173.tif,0.7753246753246753,0.24092009685230023,0.9474004462172942,0.25766871165644173,0.5553284825126779
0174.tif,0.6890838206627681,0.4547069271758437,0.9510031678986273,0.8222869628550619,0.7292702196480753
0175.tif,0.8103174603174603,0.6202247191011236,0.983766450664707,0.0,0.6035771575208227
0176.tif,0.6830601092896175,0.593198992443325,0.9473459270023079,0.9257495096665733,0.787338634600456
0177.tif,0.8680659670164917,0.8234244946492271,0.9511146217307355,0.8672168042010503,0.8774554718993761
0178.tif,0.7183137911781128,0.08329564981459708,0.20031637665473317,0.0,0.25048145441186076
0179.tif,0.7632933104631218,0.31347962382445144,0.9494684620836287,0.244,0.5675603490928005
