Name, Area, Mean, Minimum, Maximum, SDev
0114.tif, 16384, 1.4584, 0, 3, 0.8777
0115.tif, 16384, 1.8854, 0, 3, 0.6076
0116.tif, 16384, 1.6947, 0, 3, 0.6524
0117.tif, 16384, 1.809, 0, 2, 0.5599
0118.tif, 16384, 1.7557, 0, 2, 0.5842
0119.tif, 16384, 1.4319, 0, 2, 0.8586
0120.tif, 16384, 1.6824, 0, 3, 0.6713
0121.tif, 16384, 1.3315, 0, 3, 0.9357
0122.tif, 16384, 1.6945, 0, 3, 0.7163
0123.tif, 16384, 1.6708, 0, 2, 0.6581
0124.tif, 16384, 1.9454, 0, 3, 0.5333
0125.tif, 16384, 1.4844, 0, 3, 0.8456
0126.tif, 16384, 1.6422, 0, 2, 0.7097
0127.tif, 16384, 1.9169, 0, 3, 0.5847
0128.tif, 16384, 2.0251, 0, 3, 0.4577
0129.tif, 16384, 1.7331, 0, 3, 0.6172
0130.tif, 16384, 1.6721, 0, 2, 0.7083
0131.tif, 16384, 1.7396, 0, 3, 0.6071
0132.tif, 16384, 1.7147, 0, 3, 0.6086
0133.tif, 16384, 1.827, 0, 3, 0.5899
0134.tif, 16384, 1.7286, 0, 3, 0.6121
0135.tif, 16384, 1.7935, 0, 3, 0.6252
0136.tif, 16384, 1.4075, 0, 2, 0.8619
0137.tif, 16384, 1.9396, 0, 3, 0.6604
0138.tif, 16384, 1.6005, 0, 2, 0.7893
0139.tif, 16384, 1.3489, 0, 2, 0.8951
0140.tif, 16384, 1.688, 0, 3, 0.6767
0141.tif, 16384, 1.6193, 0, 2, 0.7579
0142.tif, 16384, 1.8005, 0, 3, 0.629
0143.tif, 16384, 1.2776, 0, 3, 0.5708
0144.tif, 16384, 1.506, 0, 3, 0.8604
0145.tif, 16384, 1.7256, 0, 3, 0.6716
0146.tif, 16384, 1.9588, 0, 3, 0.409
0147.tif, 16384, 1.6726, 0, 3, 0.7304
0148.tif, 16384, 1.798, 0, 3, 0.5495
0149.tif, 16384, 1.6855, 0, 2, 0.6591
0150.tif, 16384, 1.8043, 0, 3, 0.5862
0151.tif, 16384, 1.8464, 0, 3, 0.4972
0152.tif, 16384, 2.2617, 0, 3, 0.5074
0153.tif, 16384, 1.6365, 0, 2, 0.737
0154.tif, 16384, 1.6354, 0, 2, 0.6992
0155.tif, 16384, 1.5703, 0, 3, 0.8373
0156.tif, 16384, 1.6047, 0, 2, 0.6726
0157.tif, 16384, 1.691, 0, 3, 0.6695
0158.tif, 16384, 1.7139, 0, 3, 0.7027
0159.tif, 16384, 1.8007, 0, 3, 0.7062
